clk 0, new_byte 0, byte 90, new_msg 0, msg 000000
clk 1, new_byte 0, byte 90, new_msg 0, msg 000000
msg should equal 403C90
clk 0, new_byte 1, byte 90, new_msg 0, msg 000000
clk 1, new_byte 1, byte 90, new_msg 0, msg 000090
clk 0, new_byte 0, byte 90, new_msg 0, msg 000090
clk 1, new_byte 0, byte 90, new_msg 0, msg 000090
clk 0, new_byte 0, byte 90, new_msg 0, msg 000090
clk 1, new_byte 0, byte 90, new_msg 0, msg 000090
clk 0, new_byte 0, byte 90, new_msg 0, msg 000090
clk 1, new_byte 0, byte 90, new_msg 0, msg 000090
clk 0, new_byte 0, byte 90, new_msg 0, msg 000090
clk 1, new_byte 0, byte 90, new_msg 0, msg 000090
clk 0, new_byte 1, byte 3c, new_msg 0, msg 000090
clk 1, new_byte 1, byte 3c, new_msg 0, msg 003c90
clk 0, new_byte 0, byte 3c, new_msg 0, msg 003c90
clk 1, new_byte 0, byte 3c, new_msg 0, msg 003c90
clk 0, new_byte 0, byte 3c, new_msg 0, msg 003c90
clk 1, new_byte 0, byte 3c, new_msg 0, msg 003c90
clk 0, new_byte 0, byte 3c, new_msg 0, msg 003c90
clk 1, new_byte 0, byte 3c, new_msg 0, msg 003c90
clk 0, new_byte 0, byte 3c, new_msg 0, msg 003c90
clk 1, new_byte 0, byte 3c, new_msg 0, msg 003c90
clk 0, new_byte 1, byte 40, new_msg 0, msg 003c90
clk 1, new_byte 1, byte 40, new_msg 1, msg 403c90
clk 0, new_byte 0, byte 40, new_msg 1, msg 403c90
clk 1, new_byte 0, byte 40, new_msg 0, msg 403c90
clk 0, new_byte 0, byte 40, new_msg 0, msg 403c90
clk 1, new_byte 0, byte 40, new_msg 0, msg 403c90
clk 0, new_byte 0, byte 40, new_msg 0, msg 403c90
clk 1, new_byte 0, byte 40, new_msg 0, msg 403c90
clk 0, new_byte 0, byte 40, new_msg 0, msg 403c90
clk 1, new_byte 0, byte 40, new_msg 0, msg 403c90
clk 0, new_byte 0, byte 40, new_msg 0, msg 403c90
clk 1, new_byte 0, byte 40, new_msg 0, msg 403c90
clk 0, new_byte 0, byte 40, new_msg 0, msg 403c90
clk 1, new_byte 0, byte 40, new_msg 0, msg 403c90
clk 0, new_byte 0, byte 40, new_msg 0, msg 403c90
clk 1, new_byte 0, byte 40, new_msg 0, msg 403c90
clk 0, new_byte 0, byte 40, new_msg 0, msg 403c90
clk 1, new_byte 0, byte 40, new_msg 0, msg 403c90
msg should equal 0074C1
clk 0, new_byte 1, byte c1, new_msg 0, msg 403c90
clk 1, new_byte 1, byte c1, new_msg 0, msg 0000c1
clk 0, new_byte 0, byte c1, new_msg 0, msg 0000c1
clk 1, new_byte 0, byte c1, new_msg 0, msg 0000c1
clk 0, new_byte 0, byte c1, new_msg 0, msg 0000c1
clk 1, new_byte 0, byte c1, new_msg 0, msg 0000c1
clk 0, new_byte 0, byte c1, new_msg 0, msg 0000c1
clk 1, new_byte 0, byte c1, new_msg 0, msg 0000c1
clk 0, new_byte 0, byte c1, new_msg 0, msg 0000c1
clk 1, new_byte 0, byte c1, new_msg 0, msg 0000c1
clk 0, new_byte 1, byte 74, new_msg 0, msg 0000c1
clk 1, new_byte 1, byte 74, new_msg 0, msg 0074c1
clk 0, new_byte 0, byte 74, new_msg 0, msg 0074c1
clk 1, new_byte 0, byte 74, new_msg 0, msg 0074c1
clk 0, new_byte 0, byte 74, new_msg 0, msg 0074c1
clk 1, new_byte 0, byte 74, new_msg 1, msg 0074c1
clk 0, new_byte 0, byte 74, new_msg 1, msg 0074c1
clk 1, new_byte 0, byte 74, new_msg 0, msg 0074c1
clk 0, new_byte 0, byte 74, new_msg 0, msg 0074c1
clk 1, new_byte 0, byte 74, new_msg 0, msg 0074c1
clk 0, new_byte 0, byte 74, new_msg 0, msg 0074c1
clk 1, new_byte 0, byte 74, new_msg 0, msg 0074c1
clk 0, new_byte 0, byte 74, new_msg 0, msg 0074c1
clk 1, new_byte 0, byte 74, new_msg 0, msg 0074c1
clk 0, new_byte 0, byte 74, new_msg 0, msg 0074c1
clk 1, new_byte 0, byte 74, new_msg 0, msg 0074c1
clk 0, new_byte 0, byte 74, new_msg 0, msg 0074c1
clk 1, new_byte 0, byte 74, new_msg 0, msg 0074c1
msg should equal 0000FE
clk 0, new_byte 1, byte fe, new_msg 0, msg 0074c1
clk 1, new_byte 1, byte fe, new_msg 0, msg 0000fe
clk 0, new_byte 0, byte fe, new_msg 0, msg 0000fe
clk 1, new_byte 0, byte fe, new_msg 0, msg 0000fe
clk 0, new_byte 0, byte fe, new_msg 0, msg 0000fe
clk 1, new_byte 0, byte fe, new_msg 1, msg 0000fe
clk 0, new_byte 0, byte fe, new_msg 1, msg 0000fe
clk 1, new_byte 0, byte fe, new_msg 0, msg 0000fe
clk 0, new_byte 0, byte fe, new_msg 0, msg 0000fe
clk 1, new_byte 0, byte fe, new_msg 0, msg 0000fe
clk 0, new_byte 0, byte fe, new_msg 0, msg 0000fe
clk 1, new_byte 0, byte fe, new_msg 0, msg 0000fe
clk 0, new_byte 0, byte fe, new_msg 0, msg 0000fe
clk 1, new_byte 0, byte fe, new_msg 0, msg 0000fe
clk 0, new_byte 0, byte fe, new_msg 0, msg 0000fe
clk 1, new_byte 0, byte fe, new_msg 0, msg 0000fe
clk 0, new_byte 0, byte fe, new_msg 0, msg 0000fe
clk 1, new_byte 0, byte fe, new_msg 0, msg 0000fe
clk 0, new_byte 0, byte fe, new_msg 0, msg 0000fe
