generate_next 0, zero 0, step 00100000000000000000, ready 1, sample     0, addr    0
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample     0, addr    0
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample     0, addr    0
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample     0, addr  128
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample     0, addr  128
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample  6393, addr  128
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample  6393, addr  128
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample  6393, addr  128
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample  6393, addr  128
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample  6393, addr  256
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample  6393, addr  256
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 12539, addr  256
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 12539, addr  256
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 12539, addr  256
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 12539, addr  256
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 12539, addr  384
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 12539, addr  384
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 18204, addr  384
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 18204, addr  384
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 18204, addr  384
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 18204, addr  384
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 18204, addr  512
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 18204, addr  512
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 23170, addr  512
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 23170, addr  512
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 23170, addr  512
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 23170, addr  512
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 23170, addr  640
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 23170, addr  640
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 27245, addr  640
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 27245, addr  640
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 27245, addr  640
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 27245, addr  640
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 27245, addr  768
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 27245, addr  768
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 30273, addr  768
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 30273, addr  768
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 30273, addr  768
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 30273, addr  768
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 30273, addr  896
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 30273, addr  896
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 32137, addr  896
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 32137, addr  896
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 32137, addr  896
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 32137, addr  896
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 32137, addr 1022
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 32137, addr 1022
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 32767, addr 1022
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 32767, addr 1022
