should output 5
clk 0, playing 11111111111111111111111111011111, count  1, note  0
clk 1, playing 11111111111111111111111111011111, count  2, note  0
clk 0, playing 11111111111111111111111111011111, count  2, note  0
clk 1, playing 11111111111111111111111111011111, count  3, note  0
clk 0, playing 11111111111111111111111111011111, count  3, note  0
clk 1, playing 11111111111111111111111111011111, count  4, note  0
clk 0, playing 11111111111111111111111111011111, count  4, note  0
clk 1, playing 11111111111111111111111111011111, count  5, note  5
clk 0, playing 11111111111111111111111111011111, count  5, note  5
clk 1, playing 11111111111111111111111111011111, count  0, note  5
clk 0, playing 11111111111111111111111111011111, count  0, note  5
clk 1, playing 11111111111111111111111111011111, count  1, note  5
clk 0, playing 11111111111111111111111111011111, count  1, note  5
clk 1, playing 11111111111111111111111111011111, count  2, note  5
clk 0, playing 11111111111111111111111111011111, count  2, note  5
clk 1, playing 11111111111111111111111111011111, count  3, note  5
clk 0, playing 11111111111111111111111111011111, count  3, note  5
clk 1, playing 11111111111111111111111111011111, count  4, note  5
clk 0, playing 11111111111111111111111111011111, count  4, note  5
clk 1, playing 11111111111111111111111111011111, count  5, note  5
clk 0, playing 11111111111111111111111111011111, count  5, note  5
clk 1, playing 11111111111111111111111111011111, count  0, note  5
clk 0, playing 11111111111111111111111111011111, count  0, note  5
clk 1, playing 11111111111111111111111111011111, count  1, note  5
clk 0, playing 11111111111111111111111111011111, count  1, note  5
clk 1, playing 11111111111111111111111111011111, count  2, note  5
clk 0, playing 11111111111111111111111111011111, count  2, note  5
clk 1, playing 11111111111111111111111111011111, count  3, note  5
clk 0, playing 11111111111111111111111111011111, count  3, note  5
clk 1, playing 11111111111111111111111111011111, count  4, note  5
clk 0, playing 11111111111111111111111111011111, count  4, note  5
clk 1, playing 11111111111111111111111111011111, count  5, note  5
clk 0, playing 11111111111111111111111111011111, count  5, note  5
clk 1, playing 11111111111111111111111111011111, count  0, note  5
clk 0, playing 11111111111111111111111111011111, count  0, note  5
clk 1, playing 11111111111111111111111111011111, count  1, note  5
clk 0, playing 11111111111111111111111111011111, count  1, note  5
clk 1, playing 11111111111111111111111111011111, count  2, note  5
clk 0, playing 11111111111111111111111111011111, count  2, note  5
clk 1, playing 11111111111111111111111111011111, count  3, note  5
clk 0, playing 11111111111111111111111111011111, count  3, note  5
clk 1, playing 11111111111111111111111111011111, count  4, note  5
clk 0, playing 11111111111111111111111111011111, count  4, note  5
clk 1, playing 11111111111111111111111111011111, count  5, note  5
clk 0, playing 11111111111111111111111111011111, count  5, note  5
clk 1, playing 11111111111111111111111111011111, count  0, note  5
clk 0, playing 11111111111111111111111111011111, count  0, note  5
clk 1, playing 11111111111111111111111111011111, count  1, note  5
clk 0, playing 11111111111111111111111111011111, count  1, note  5
clk 1, playing 11111111111111111111111111011111, count  2, note  5
clk 0, playing 11111111111111111111111111011111, count  2, note  5
clk 1, playing 11111111111111111111111111011111, count  3, note  5
clk 0, playing 11111111111111111111111111011111, count  3, note  5
