rxstate 0000, rx 0, flag 0, rxdata 00000000, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0000, rx 1, flag 0, rxdata 00000000, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0001, rx 1, flag 0, rxdata 00000000, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0001, rx 0, flag 0, rxdata 00000000, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0010, rx 0, flag 0, rxdata 00000000, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0011, rx 0, flag 0, rxdata 00000000, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0011, rx 1, flag 0, rxdata 00000000, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0011, rx 1, flag 0, rxdata 00000001, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0100, rx 1, flag 0, rxdata 00000001, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0100, rx 0, flag 0, rxdata 00000001, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0101, rx 0, flag 0, rxdata 00000001, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0101, rx 1, flag 0, rxdata 00000001, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0101, rx 1, flag 0, rxdata 00000101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0110, rx 1, flag 0, rxdata 00000101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0110, rx 0, flag 0, rxdata 00000101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0111, rx 0, flag 0, rxdata 00000101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0111, rx 1, flag 0, rxdata 00000101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0111, rx 1, flag 0, rxdata 00010101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1000, rx 1, flag 0, rxdata 00010101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1000, rx 0, flag 0, rxdata 00010101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1001, rx 0, flag 0, rxdata 00010101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1001, rx 1, flag 0, rxdata 00010101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1001, rx 1, flag 0, rxdata 01010101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1010, rx 1, flag 0, rxdata 01010101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1010, rx 0, flag 0, rxdata 01010101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1011, rx 0, flag 0, rxdata 01010101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1011, rx 1, flag 0, rxdata 01010101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1011, rx 1, flag 1, rxdata 01010101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0001, rx 1, flag 0, rxdata 01010101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0001, rx 0, flag 0, rxdata 01010101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0010, rx 0, flag 0, rxdata 01010101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0011, rx 0, flag 0, rxdata 01010101, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0011, rx 0, flag 0, rxdata 01010100, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0100, rx 0, flag 0, rxdata 01010100, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0100, rx 1, flag 0, rxdata 01010100, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0100, rx 1, flag 0, rxdata 01010110, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0101, rx 1, flag 0, rxdata 01010110, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0110, rx 1, flag 0, rxdata 01010110, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0110, rx 0, flag 0, rxdata 01010110, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0111, rx 0, flag 0, rxdata 01010110, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0111, rx 0, flag 0, rxdata 01000110, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1000, rx 0, flag 0, rxdata 01000110, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1001, rx 0, flag 0, rxdata 01000110, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1001, rx 1, flag 0, rxdata 01000110, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1010, rx 1, flag 0, rxdata 01000110, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1010, rx 1, flag 0, rxdata 11000110, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1011, rx 1, flag 0, rxdata 11000110, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 1011, rx 1, flag 1, rxdata 11000110, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0000, tx 1, txdata 00000000, busy 0, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0000, tx 1, txdata 00000000, busy 1, ready 1
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0001, tx 0, txdata 01100101, busy 1, ready 1
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0001, tx 0, txdata 01100101, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0010, tx 1, txdata 01100101, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0011, tx 0, txdata 01100101, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0100, tx 1, txdata 01100101, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0100, tx 1, txdata 01100101, busy 1, ready 1
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0100, tx 1, txdata 01100101, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0101, tx 0, txdata 01100101, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0110, tx 0, txdata 01100101, busy 1, ready 0
