out: 0, 600, 1170, 1190, -7768, -15173, 1170, 1170
time     6, ready 1, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time     7, ready 1, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time     7, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time     8, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time     9, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    10, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    11, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    12, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    13, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    14, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    15, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    16, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    17, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    18, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    19, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    20, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    21, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    22, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    23, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    24, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    25, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    26, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    27, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    28, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    29, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    30, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    31, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    32, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    33, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    34, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    35, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    36, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    37, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    38, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    39, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    40, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    41, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    42, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    43, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    44, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    45, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    46, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    47, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    48, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    49, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    50, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    51, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    52, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    53, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    54, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    55, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    56, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    57, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    58, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    59, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    60, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    61, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
