time     0, reset 1, beat 0
time     1, reset 1, beat 0
time     2, reset 1, beat 0
time     3, reset 1, beat 0
time     4, reset 1, beat 0
time     5, reset 1, beat 0
time     6, reset 1, beat 0
time     7, reset 1, beat 0
time     8, reset 1, beat 0
time     9, reset 1, beat 0
time    10, reset 0, beat 0
time    11, reset 0, beat 0
time    12, reset 0, beat 0
time    13, reset 0, beat 0
time    14, reset 0, beat 0
time    15, reset 0, beat 0
time    16, reset 0, beat 0
time    17, reset 0, beat 0
time    18, reset 0, beat 0
time    19, reset 0, beat 0
time    20, reset 0, beat 0
time    21, reset 0, beat 0
time    22, reset 0, beat 0
time    23, reset 0, beat 0
time    24, reset 0, beat 0
time    25, reset 0, beat 0
time    26, reset 0, beat 0
time    27, reset 0, beat 0
time    28, reset 0, beat 0
time    29, reset 0, beat 1
time    30, reset 0, beat 1
time    31, reset 0, beat 0
time    32, reset 0, beat 0
time    33, reset 0, beat 0
time    34, reset 0, beat 0
time    35, reset 0, beat 0
time    36, reset 0, beat 0
time    37, reset 0, beat 0
time    38, reset 0, beat 0
time    39, reset 0, beat 0
time    40, reset 0, beat 0
time    41, reset 0, beat 0
time    42, reset 0, beat 0
time    43, reset 0, beat 0
time    44, reset 0, beat 0
time    45, reset 0, beat 0
time    46, reset 0, beat 0
time    47, reset 0, beat 0
time    48, reset 0, beat 0
time    49, reset 0, beat 0
time    50, reset 0, beat 0
time    51, reset 0, beat 1
time    52, reset 0, beat 1
time    53, reset 0, beat 0
time    54, reset 0, beat 0
time    55, reset 0, beat 0
time    56, reset 0, beat 0
time    57, reset 0, beat 0
time    58, reset 0, beat 0
time    59, reset 0, beat 0
time    60, reset 0, beat 0
time    61, reset 0, beat 0
time    62, reset 0, beat 0
time    63, reset 0, beat 0
time    64, reset 0, beat 0
time    65, reset 0, beat 0
time    66, reset 0, beat 0
time    67, reset 0, beat 0
time    68, reset 0, beat 0
time    69, reset 0, beat 0
time    70, reset 0, beat 0
time    71, reset 0, beat 0
time    72, reset 0, beat 0
time    73, reset 0, beat 1
time    74, reset 0, beat 1
time    75, reset 0, beat 0
time    76, reset 0, beat 0
time    77, reset 0, beat 0
time    78, reset 0, beat 0
time    79, reset 0, beat 0
time    80, reset 0, beat 0
time    81, reset 0, beat 0
time    82, reset 0, beat 0
time    83, reset 0, beat 0
time    84, reset 0, beat 0
time    85, reset 0, beat 0
time    86, reset 0, beat 0
time    87, reset 0, beat 0
time    88, reset 0, beat 0
time    89, reset 0, beat 0
time    90, reset 0, beat 0
time    91, reset 0, beat 0
time    92, reset 0, beat 0
time    93, reset 0, beat 0
time    94, reset 0, beat 0
time    95, reset 0, beat 1
time    96, reset 0, beat 1
time    97, reset 0, beat 0
time    98, reset 0, beat 0
time    99, reset 0, beat 0
time   100, reset 0, beat 0
time   101, reset 0, beat 0
time   102, reset 0, beat 0
time   103, reset 0, beat 0
time   104, reset 0, beat 0
time   105, reset 0, beat 0
time   106, reset 0, beat 0
time   107, reset 0, beat 0
time   108, reset 0, beat 0
time   109, reset 0, beat 0
time   110, reset 0, beat 0
time   111, reset 0, beat 0
time   112, reset 0, beat 0
time   113, reset 0, beat 0
time   114, reset 0, beat 0
time   115, reset 0, beat 0
time   116, reset 0, beat 0
time   117, reset 0, beat 1
time   118, reset 0, beat 1
time   119, reset 0, beat 0
time   120, reset 0, beat 0
time   121, reset 0, beat 0
time   122, reset 0, beat 0
time   123, reset 0, beat 0
time   124, reset 0, beat 0
time   125, reset 0, beat 0
time   126, reset 0, beat 0
time   127, reset 0, beat 0
time   128, reset 0, beat 0
time   129, reset 0, beat 0
time   130, reset 1, beat 0
time   131, reset 1, beat 0
time   132, reset 1, beat 0
time   133, reset 1, beat 0
time   134, reset 1, beat 0
time   135, reset 1, beat 0
time   136, reset 1, beat 0
time   137, reset 1, beat 0
time   138, reset 1, beat 0
time   139, reset 1, beat 0
time   140, reset 1, beat 0
time   141, reset 1, beat 0
time   142, reset 1, beat 0
time   143, reset 1, beat 0
time   144, reset 1, beat 0
time   145, reset 1, beat 0
time   146, reset 1, beat 0
time   147, reset 1, beat 0
time   148, reset 1, beat 0
time   149, reset 1, beat 0
time   150, reset 1, beat 0
time   151, reset 1, beat 0
time   152, reset 1, beat 0
time   153, reset 1, beat 0
time   154, reset 1, beat 0
time   155, reset 1, beat 0
time   156, reset 1, beat 0
time   157, reset 1, beat 0
time   158, reset 1, beat 0
time   159, reset 1, beat 0
time   160, reset 1, beat 0
