fast 0, rst 1, sl 0, sr 0, out xxxx000
fast 0, rst 1, sl 0, sr 0, out 0000000
fast 0, rst 0, sl 0, sr 0, out 0000000
fast 0, rst 0, sl 0, sr 0, out 0001000
fast 0, rst 0, sl 0, sr 1, out 0001000
fast 0, rst 0, sl 0, sr 1, out 0010000
fast 0, rst 0, sl 0, sr 0, out 0010000
fast 0, rst 0, sl 0, sr 1, out 0010000
fast 0, rst 0, sl 0, sr 1, out 0100000
fast 0, rst 0, sl 0, sr 0, out 0100000
fast 0, rst 0, sl 0, sr 1, out 0100000
fast 0, rst 0, sl 0, sr 1, out 1000000
fast 0, rst 0, sl 0, sr 0, out 1000000
fast 0, rst 0, sl 0, sr 1, out 1000000
fast 0, rst 0, sl 0, sr 0, out 1000000
fast 0, rst 0, sl 1, sr 0, out 1000000
fast 0, rst 0, sl 1, sr 0, out 0100000
fast 0, rst 0, sl 0, sr 0, out 0100000
fast 0, rst 0, sl 1, sr 0, out 0100000
fast 0, rst 0, sl 1, sr 0, out 0010000
fast 0, rst 0, sl 0, sr 0, out 0010000
fast 0, rst 0, sl 1, sr 0, out 0010000
fast 0, rst 0, sl 1, sr 0, out 0001000
fast 0, rst 0, sl 0, sr 0, out 0001000
fast 0, rst 0, sl 1, sr 0, out 0001000
fast 0, rst 0, sl 0, sr 0, out 0001000
fast 0, rst 1, sl 0, sr 0, out 0001000
fast 0, rst 1, sl 0, sr 0, out 0000000
fast 0, rst 0, sl 0, sr 0, out 0000000
fast 0, rst 0, sl 0, sr 0, out 0001000
fast 1, rst 0, sl 0, sr 0, out 0001000
fast 1, rst 0, sl 0, sr 1, out 0001000
fast 1, rst 0, sl 0, sr 1, out 0000100
fast 1, rst 0, sl 0, sr 0, out 0000100
fast 1, rst 0, sl 0, sr 1, out 0000100
fast 1, rst 0, sl 0, sr 1, out 0000010
fast 1, rst 0, sl 0, sr 0, out 0000010
fast 1, rst 0, sl 0, sr 1, out 0000010
fast 1, rst 0, sl 0, sr 1, out 0000001
fast 1, rst 0, sl 0, sr 0, out 0000001
fast 1, rst 0, sl 0, sr 1, out 0000001
fast 1, rst 0, sl 0, sr 0, out 0000001
fast 1, rst 0, sl 1, sr 0, out 0000001
fast 1, rst 0, sl 1, sr 0, out 0000010
fast 1, rst 0, sl 0, sr 0, out 0000010
fast 1, rst 0, sl 1, sr 0, out 0000010
fast 1, rst 0, sl 1, sr 0, out 0000100
fast 1, rst 0, sl 0, sr 0, out 0000100
fast 1, rst 0, sl 1, sr 0, out 0000100
fast 1, rst 0, sl 1, sr 0, out 0001000
fast 1, rst 0, sl 0, sr 0, out 0001000
fast 1, rst 0, sl 1, sr 0, out 0001000
fast 1, rst 0, sl 0, sr 0, out 0001000
