rst 1, clk 0, pause 0, count  x, done 0
rst 1, clk 1, pause 0, count  0, done 0
rst 1, clk 0, pause 0, count  0, done 0
rst 1, clk 1, pause 0, count  0, done 0
rst 1, clk 0, pause 0, count  0, done 0
rst 1, clk 1, pause 0, count  0, done 0
rst 1, clk 0, pause 0, count  0, done 0
rst 1, clk 1, pause 0, count  0, done 0
rst 1, clk 0, pause 0, count  0, done 0
rst 1, clk 1, pause 0, count  0, done 0
rst 0, clk 0, pause 0, count  0, done 1
rst 0, clk 1, pause 0, count  0, done 0
rst 0, clk 0, pause 0, count  0, done 0
rst 0, clk 1, pause 0, count  0, done 0
rst 0, clk 0, pause 0, count  0, done 0
rst 0, clk 1, pause 0, count  0, done 0
rst 0, clk 0, pause 0, count  0, done 0
rst 0, clk 1, pause 0, count  0, done 0
rst 0, clk 0, pause 0, count  0, done 0
rst 0, clk 1, pause 0, count  0, done 0
rst 0, clk 0, pause 0, count  0, done 0
rst 0, clk 1, pause 0, count 16, done 0
rst 0, clk 0, pause 0, count 16, done 0
rst 0, clk 1, pause 0, count 15, done 0
rst 0, clk 0, pause 0, count 15, done 0
rst 0, clk 1, pause 0, count 14, done 0
rst 0, clk 0, pause 0, count 14, done 0
rst 0, clk 1, pause 0, count 13, done 0
rst 0, clk 0, pause 0, count 13, done 0
rst 0, clk 1, pause 0, count 12, done 0
rst 0, clk 0, pause 0, count 12, done 0
rst 0, clk 1, pause 0, count 11, done 0
rst 0, clk 0, pause 0, count 11, done 0
rst 0, clk 1, pause 0, count 10, done 0
rst 0, clk 0, pause 0, count 10, done 0
rst 0, clk 1, pause 0, count  9, done 0
rst 0, clk 0, pause 0, count  9, done 0
rst 0, clk 1, pause 0, count  8, done 0
rst 0, clk 0, pause 0, count  8, done 0
rst 0, clk 1, pause 0, count  7, done 0
rst 0, clk 0, pause 0, count  7, done 0
rst 0, clk 1, pause 0, count  6, done 0
rst 0, clk 0, pause 0, count  6, done 0
rst 0, clk 1, pause 0, count  5, done 0
rst 0, clk 0, pause 0, count  5, done 0
rst 0, clk 1, pause 0, count  4, done 0
rst 0, clk 0, pause 0, count  4, done 0
rst 0, clk 1, pause 0, count  3, done 0
rst 0, clk 0, pause 0, count  3, done 0
rst 0, clk 1, pause 0, count  2, done 0
rst 0, clk 0, pause 0, count  2, done 0
rst 0, clk 1, pause 0, count  1, done 0
rst 0, clk 0, pause 0, count  1, done 0
rst 0, clk 1, pause 0, count  0, done 1
rst 0, clk 0, pause 0, count  0, done 1
rst 0, clk 1, pause 0, count  0, done 0
rst 0, clk 0, pause 0, count  0, done 0
rst 0, clk 1, pause 0, count  0, done 0
rst 0, clk 0, pause 0, count  0, done 0
rst 0, clk 1, pause 0, count  0, done 0
rst 0, clk 0, pause 0, count  0, done 0
rst 0, clk 1, pause 0, count 30, done 0
rst 0, clk 0, pause 0, count 30, done 0
rst 0, clk 1, pause 0, count 29, done 0
rst 0, clk 0, pause 0, count 29, done 0
rst 0, clk 1, pause 0, count 28, done 0
rst 0, clk 0, pause 0, count 28, done 0
rst 0, clk 1, pause 0, count 27, done 0
rst 0, clk 0, pause 0, count 27, done 0
rst 0, clk 1, pause 0, count 26, done 0
rst 0, clk 0, pause 0, count 26, done 0
rst 0, clk 1, pause 0, count 25, done 0
rst 0, clk 0, pause 0, count 25, done 0
rst 0, clk 1, pause 0, count 24, done 0
rst 0, clk 0, pause 0, count 24, done 0
rst 0, clk 1, pause 0, count 23, done 0
rst 0, clk 0, pause 0, count 23, done 0
rst 0, clk 1, pause 0, count 22, done 0
rst 0, clk 0, pause 0, count 22, done 0
rst 0, clk 1, pause 0, count 21, done 0
rst 0, clk 0, pause 1, count 21, done 0
rst 0, clk 1, pause 1, count 21, done 0
rst 0, clk 0, pause 1, count 21, done 0
rst 0, clk 1, pause 1, count 21, done 0
rst 0, clk 0, pause 1, count 21, done 0
rst 0, clk 1, pause 0, count 20, done 0
rst 0, clk 0, pause 0, count 20, done 0
rst 0, clk 1, pause 0, count 19, done 0
rst 0, clk 0, pause 0, count 19, done 0
rst 0, clk 1, pause 0, count 18, done 0
rst 0, clk 0, pause 0, count 18, done 0
rst 0, clk 1, pause 0, count 17, done 0
rst 0, clk 0, pause 0, count 17, done 0
rst 0, clk 1, pause 0, count 16, done 0
rst 0, clk 0, pause 0, count 16, done 0
rst 0, clk 1, pause 0, count 15, done 0
rst 0, clk 0, pause 0, count 15, done 0
rst 0, clk 1, pause 0, count 14, done 0
rst 0, clk 0, pause 0, count 14, done 0
rst 0, clk 1, pause 0, count 13, done 0
rst 0, clk 0, pause 0, count 13, done 0
rst 0, clk 1, pause 0, count 12, done 0
rst 0, clk 0, pause 0, count 12, done 0
rst 0, clk 1, pause 0, count 11, done 0
rst 0, clk 0, pause 0, count 11, done 0
rst 0, clk 1, pause 0, count 10, done 0
rst 0, clk 0, pause 0, count 10, done 0
rst 0, clk 1, pause 0, count  9, done 0
rst 0, clk 0, pause 0, count  9, done 0
rst 0, clk 1, pause 0, count  8, done 0
rst 0, clk 0, pause 0, count  8, done 0
rst 0, clk 1, pause 0, count  7, done 0
rst 0, clk 0, pause 0, count  7, done 0
rst 0, clk 1, pause 0, count  6, done 0
rst 0, clk 0, pause 0, count  6, done 0
rst 0, clk 1, pause 0, count  5, done 0
rst 0, clk 0, pause 0, count  5, done 0
rst 0, clk 1, pause 0, count  4, done 0
rst 0, clk 0, pause 0, count  4, done 0
rst 0, clk 1, pause 0, count  3, done 0
rst 0, clk 0, pause 0, count  3, done 0
rst 0, clk 1, pause 0, count  2, done 0
rst 0, clk 0, pause 0, count  2, done 0
rst 0, clk 1, pause 0, count  1, done 0
rst 0, clk 0, pause 0, count  1, done 0
rst 0, clk 1, pause 0, count  0, done 1
rst 0, clk 0, pause 0, count  0, done 1
rst 0, clk 1, pause 0, count  0, done 0
rst 0, clk 0, pause 0, count  0, done 0
rst 0, clk 1, pause 0, count  0, done 0
rst 0, clk 0, pause 0, count  0, done 0
