beat 0, done 0, note  1, sample     0, ready 0, enable 1
beat 0, done 0, note  1, sample   452, ready 0, enable 1
beat 0, done 0, note  1, sample   452, ready 1, enable 1
beat 0, done 0, note  1, sample   452, ready 0, enable 1
beat 0, done 0, note  1, sample   905, ready 0, enable 1
beat 0, done 0, note  1, sample   905, ready 1, enable 1
beat 0, done 0, note  1, sample   905, ready 0, enable 1
beat 0, done 0, note  1, sample  1407, ready 0, enable 1
beat 0, done 0, note  1, sample  1407, ready 1, enable 1
beat 0, done 0, note  1, sample  1407, ready 0, enable 1
beat 0, done 0, note  1, sample  1859, ready 0, enable 1
beat 0, done 0, note  1, sample  1859, ready 1, enable 1
beat 0, done 0, note  1, sample  1859, ready 0, enable 1
beat 0, done 0, note  1, sample  2310, ready 0, enable 1
beat 0, done 0, note  1, sample  2310, ready 1, enable 1
beat 0, done 0, note  1, sample  2310, ready 0, enable 1
beat 0, done 0, note  1, sample  2811, ready 0, enable 1
beat 0, done 0, note  1, sample  2811, ready 1, enable 1
beat 0, done 0, note  1, sample  2811, ready 0, enable 1
beat 0, done 0, note  1, sample  3262, ready 0, enable 1
beat 0, done 0, note  1, sample  3262, ready 1, enable 1
beat 0, done 0, note  1, sample  3262, ready 0, enable 1
beat 0, done 0, note  1, sample  3761, ready 0, enable 1
beat 0, done 0, note  1, sample  3761, ready 1, enable 1
beat 0, done 0, note  1, sample  3761, ready 0, enable 1
beat 0, done 0, note  1, sample  4210, ready 0, enable 1
beat 0, done 0, note  1, sample  4210, ready 1, enable 1
beat 0, done 0, note  1, sample  4210, ready 0, enable 1
beat 0, done 0, note  1, sample  4659, ready 0, enable 1
beat 0, done 0, note  1, sample  4659, ready 1, enable 1
beat 0, done 0, note  1, sample  4659, ready 0, enable 1
beat 0, done 0, note  1, sample  5156, ready 0, enable 1
beat 0, done 0, note  1, sample  5156, ready 1, enable 1
beat 0, done 0, note  1, sample  5156, ready 0, enable 1
beat 0, done 0, note  1, sample  5602, ready 0, enable 1
beat 0, done 0, note  1, sample  5602, ready 1, enable 1
beat 0, done 0, note  1, sample  5602, ready 0, enable 1
beat 0, done 0, note  1, sample  6096, ready 0, enable 1
beat 0, done 0, note  1, sample  6096, ready 1, enable 1
beat 0, done 0, note  1, sample  6096, ready 0, enable 1
beat 0, done 0, note  1, sample  6540, ready 0, enable 1
beat 0, done 0, note  1, sample  6540, ready 1, enable 1
beat 0, done 0, note  1, sample  6540, ready 0, enable 1
beat 0, done 0, note  1, sample  6983, ready 0, enable 1
beat 0, done 0, note  1, sample  6983, ready 1, enable 1
beat 0, done 0, note  1, sample  6983, ready 0, enable 1
beat 0, done 0, note  1, sample  7473, ready 0, enable 1
beat 0, done 0, note  1, sample  7473, ready 1, enable 1
beat 0, done 0, note  1, sample  7473, ready 0, enable 1
beat 0, done 0, note  1, sample  7913, ready 0, enable 1
beat 0, done 0, note  1, sample  7913, ready 1, enable 1
beat 0, done 0, note  1, sample  7913, ready 0, enable 1
beat 0, done 0, note  1, sample  8351, ready 0, enable 1
beat 0, done 0, note  1, sample  8351, ready 1, enable 1
beat 0, done 0, note  1, sample  8351, ready 0, enable 1
beat 0, done 0, note  1, sample  8836, ready 0, enable 1
beat 0, done 0, note  1, sample  8836, ready 1, enable 1
beat 0, done 0, note  1, sample  8836, ready 0, enable 1
beat 0, done 0, note  1, sample  9271, ready 0, enable 1
beat 0, done 0, note  1, sample  9271, ready 1, enable 1
beat 0, done 0, note  1, sample  9271, ready 0, enable 1
beat 0, done 0, note  1, sample  9752, ready 0, enable 1
beat 0, done 0, note  1, sample  9752, ready 1, enable 1
beat 0, done 0, note  1, sample  9752, ready 0, enable 1
beat 0, done 0, note  1, sample 10183, ready 0, enable 1
beat 0, done 0, note  1, sample 10183, ready 1, enable 1
beat 0, done 0, note  1, sample 10183, ready 0, enable 1
beat 0, done 0, note  1, sample 10612, ready 0, enable 1
beat 0, done 0, note  1, sample 10612, ready 1, enable 1
beat 0, done 0, note  1, sample 10612, ready 0, enable 1
beat 0, done 0, note  1, sample 11086, ready 0, enable 1
beat 0, done 0, note  1, sample 11086, ready 1, enable 1
beat 0, done 0, note  1, sample 11086, ready 0, enable 1
beat 0, done 0, note  1, sample 11511, ready 0, enable 1
beat 0, done 0, note  1, sample 11511, ready 1, enable 1
beat 0, done 0, note  1, sample 11511, ready 0, enable 1
beat 0, done 0, note  1, sample 11980, ready 0, enable 1
beat 0, done 0, note  1, sample 11980, ready 1, enable 1
beat 0, done 0, note  1, sample 11980, ready 0, enable 1
beat 0, done 0, note  1, sample 12400, ready 0, enable 1
beat 0, done 0, note  1, sample 12400, ready 1, enable 1
beat 0, done 0, note  1, sample 12400, ready 0, enable 1
beat 0, done 0, note  1, sample 12817, ready 0, enable 1
beat 0, done 0, note  1, sample 12817, ready 1, enable 1
beat 0, done 0, note  1, sample 12817, ready 0, enable 1
beat 0, done 0, note  1, sample 13279, ready 0, enable 1
beat 0, done 0, note  1, sample 13279, ready 1, enable 1
beat 0, done 0, note  1, sample 13279, ready 0, enable 1
beat 0, done 0, note  1, sample 13691, ready 0, enable 1
beat 0, done 0, note  1, sample 13691, ready 1, enable 1
beat 0, done 0, note  1, sample 13691, ready 0, enable 1
beat 0, done 0, note  1, sample 14101, ready 0, enable 1
beat 0, done 0, note  1, sample 14101, ready 1, enable 1
beat 0, done 0, note  1, sample 14101, ready 0, enable 1
beat 0, done 0, note  1, sample 14553, ready 0, enable 1
beat 0, done 0, note  1, sample 14553, ready 1, enable 1
beat 0, done 0, note  1, sample 14553, ready 0, enable 1
beat 0, done 0, note  1, sample 14956, ready 0, enable 1
beat 0, done 0, note  1, sample 14956, ready 1, enable 1
