rst 0, beat 0, count   0, enable 1
rst 0, beat 1, count   1, enable 1
rst 0, beat 0, count   1, enable 1
rst 0, beat 1, count   2, enable 1
rst 0, beat 0, count   2, enable 1
rst 0, beat 1, count   3, enable 1
rst 0, beat 0, count   3, enable 1
rst 0, beat 1, count   4, enable 1
rst 0, beat 0, count   4, enable 1
rst 0, beat 1, count   5, enable 1
rst 0, beat 0, count   5, enable 1
rst 0, beat 1, count   6, enable 1
rst 0, beat 0, count   6, enable 1
rst 0, beat 1, count   7, enable 1
rst 0, beat 0, count   7, enable 1
rst 0, beat 1, count   8, enable 1
rst 0, beat 0, count   8, enable 1
rst 0, beat 1, count   9, enable 1
rst 0, beat 0, count   9, enable 1
rst 0, beat 1, count  10, enable 1
rst 0, beat 0, count  10, enable 1
rst 0, beat 1, count  11, enable 1
rst 0, beat 0, count  11, enable 1
rst 0, beat 1, count  12, enable 1
rst 0, beat 0, count  12, enable 1
rst 0, beat 1, count  13, enable 1
rst 0, beat 0, count  13, enable 1
rst 0, beat 1, count  14, enable 1
rst 0, beat 0, count  14, enable 1
rst 0, beat 1, count  15, enable 1
rst 0, beat 0, count  15, enable 1
rst 0, beat 1, count  16, enable 1
rst 0, beat 0, count  16, enable 1
rst 0, beat 1, count  17, enable 1
rst 0, beat 0, count  17, enable 1
rst 0, beat 1, count  18, enable 1
rst 0, beat 0, count  18, enable 1
rst 0, beat 1, count  19, enable 1
rst 0, beat 0, count  19, enable 1
rst 0, beat 1, count  20, enable 1
rst 0, beat 0, count  20, enable 1
rst 0, beat 1, count  21, enable 1
rst 0, beat 0, count  21, enable 1
rst 0, beat 1, count  22, enable 1
rst 0, beat 0, count  22, enable 1
rst 0, beat 1, count  23, enable 1
rst 0, beat 0, count  23, enable 1
rst 0, beat 1, count  24, enable 1
rst 0, beat 0, count  24, enable 1
rst 0, beat 1, count  25, enable 1
rst 0, beat 0, count  25, enable 1
rst 0, beat 1, count  26, enable 1
rst 0, beat 0, count  26, enable 1
rst 0, beat 1, count  27, enable 1
rst 0, beat 0, count  27, enable 1
rst 0, beat 1, count  28, enable 1
rst 0, beat 0, count  28, enable 1
rst 0, beat 1, count  29, enable 1
rst 0, beat 0, count  29, enable 1
rst 0, beat 1, count  30, enable 1
rst 0, beat 0, count  30, enable 1
rst 0, beat 1, count  31, enable 1
rst 0, beat 0, count  31, enable 1
rst 0, beat 1, count   0, enable 1
rst 0, beat 0, count   0, enable 1
rst 0, beat 1, count   1, enable 1
rst 0, beat 0, count   1, enable 1
rst 0, beat 1, count   2, enable 1
rst 0, beat 0, count   2, enable 1
rst 0, beat 1, count   3, enable 1
rst 0, beat 0, count   3, enable 1
rst 0, beat 0, count   3, enable 0
rst 0, beat 1, count   3, enable 0
rst 0, beat 0, count   3, enable 0
rst 0, beat 1, count   3, enable 0
rst 0, beat 0, count   3, enable 0
rst 0, beat 1, count   3, enable 0
rst 0, beat 0, count   3, enable 1
rst 0, beat 1, count   4, enable 1
rst 0, beat 0, count   4, enable 1
rst 0, beat 1, count   5, enable 1
rst 0, beat 0, count   5, enable 1
rst 0, beat 1, count   6, enable 1
rst 0, beat 0, count   6, enable 1
rst 0, beat 1, count   7, enable 1
rst 0, beat 0, count   7, enable 1
rst 0, beat 1, count   8, enable 1
rst 0, beat 0, count   8, enable 1
