ready 0, sample     0, state 0, idle 1, addr 256, en 0, wr_sample 127, index 0
ready 0, sample  2511, state 0, idle 1, addr 256, en 0, wr_sample 118, index 0
ready 1, sample  2511, state 0, idle 1, addr 256, en 0, wr_sample 118, index 0
ready 0, sample  2511, state 0, idle 1, addr 256, en 0, wr_sample 118, index 0
ready 0, sample  5007, state 0, idle 1, addr 256, en 0, wr_sample 108, index 0
ready 1, sample  5007, state 0, idle 1, addr 256, en 0, wr_sample 108, index 0
ready 0, sample  5007, state 0, idle 1, addr 256, en 0, wr_sample 108, index 0
ready 0, sample  7473, state 0, idle 1, addr 256, en 0, wr_sample  98, index 0
ready 1, sample  7473, state 0, idle 1, addr 256, en 0, wr_sample  98, index 0
ready 0, sample  7473, state 0, idle 1, addr 256, en 0, wr_sample  98, index 0
ready 0, sample  9896, state 0, idle 1, addr 256, en 0, wr_sample  89, index 0
ready 1, sample  9896, state 0, idle 1, addr 256, en 0, wr_sample  89, index 0
ready 0, sample  9896, state 0, idle 1, addr 256, en 0, wr_sample  89, index 0
ready 0, sample 12260, state 0, idle 1, addr 256, en 0, wr_sample  80, index 0
ready 1, sample 12260, state 0, idle 1, addr 256, en 0, wr_sample  80, index 0
ready 0, sample 12260, state 0, idle 1, addr 256, en 0, wr_sample  80, index 0
ready 0, sample 14553, state 0, idle 1, addr 256, en 0, wr_sample  71, index 0
ready 1, sample 14553, state 0, idle 1, addr 256, en 0, wr_sample  71, index 0
ready 0, sample 14553, state 0, idle 1, addr 256, en 0, wr_sample  71, index 0
ready 0, sample 16759, state 0, idle 1, addr 256, en 0, wr_sample  62, index 0
ready 1, sample 16759, state 0, idle 1, addr 256, en 0, wr_sample  62, index 0
ready 0, sample 16759, state 0, idle 1, addr 256, en 0, wr_sample  62, index 0
ready 0, sample 18868, state 0, idle 1, addr 256, en 0, wr_sample  54, index 0
ready 1, sample 18868, state 0, idle 1, addr 256, en 0, wr_sample  54, index 0
ready 0, sample 18868, state 0, idle 1, addr 256, en 0, wr_sample  54, index 0
ready 0, sample 20865, state 0, idle 1, addr 256, en 0, wr_sample  46, index 0
