ready 0, sample15:8 253, state 0, idle 0, addr 256, en 0, wr_sample 131, index 0
ready 1, sample15:8 254, state 0, idle 0, addr 256, en 0, wr_sample 130, index 0
ready 0, sample15:8 254, state 0, idle 0, addr 256, en 0, wr_sample 130, index 0
ready 1, sample15:8   0, state 0, idle 0, addr 256, en 0, wr_sample 128, index 0
ready 0, sample15:8   0, state 0, idle 0, addr 256, en 0, wr_sample 128, index 0
ready 0, sample15:8   0, state 1, idle 0, addr 256, en 0, wr_sample 128, index 0
ready 0, sample15:8   0, state 1, idle 0, addr 256, en 1, wr_sample 128, index 0
ready 0, sample15:8   0, state 1, idle 0, addr 256, en 0, wr_sample 128, index 0
ready 1, sample15:8   1, state 1, idle 0, addr 256, en 0, wr_sample 127, index 0
ready 1, sample15:8   1, state 1, idle 0, addr 257, en 0, wr_sample 127, index 0
ready 0, sample15:8   1, state 1, idle 0, addr 257, en 0, wr_sample 127, index 0
ready 0, sample15:8   1, state 1, idle 0, addr 257, en 1, wr_sample 127, index 0
ready 0, sample15:8   1, state 1, idle 0, addr 257, en 0, wr_sample 127, index 0
ready 1, sample15:8   2, state 1, idle 0, addr 257, en 0, wr_sample 126, index 0
ready 1, sample15:8   2, state 1, idle 0, addr 258, en 0, wr_sample 126, index 0
ready 0, sample15:8   2, state 1, idle 0, addr 258, en 0, wr_sample 126, index 0
ready 0, sample15:8   2, state 1, idle 0, addr 258, en 1, wr_sample 126, index 0
ready 0, sample15:8   2, state 1, idle 0, addr 258, en 0, wr_sample 126, index 0
ready 1, sample15:8   3, state 1, idle 0, addr 258, en 0, wr_sample 125, index 0
ready 1, sample15:8   3, state 1, idle 0, addr 259, en 0, wr_sample 125, index 0
ready 0, sample15:8   3, state 1, idle 0, addr 259, en 0, wr_sample 125, index 0
ready 0, sample15:8   3, state 1, idle 0, addr 259, en 1, wr_sample 125, index 0
ready 0, sample15:8   3, state 1, idle 0, addr 259, en 0, wr_sample 125, index 0
ready 0, sample15:8   3, state 1, idle 1, addr 259, en 0, wr_sample 125, index 0
ready 1, sample15:8   5, state 1, idle 1, addr 259, en 0, wr_sample 123, index 0
ready 1, sample15:8   5, state 1, idle 1, addr 260, en 0, wr_sample 123, index 0
ready 0, sample15:8   5, state 1, idle 1, addr 260, en 0, wr_sample 123, index 0
ready 0, sample15:8   5, state 1, idle 1, addr 260, en 1, wr_sample 123, index 0
ready 0, sample15:8   5, state 1, idle 1, addr 260, en 0, wr_sample 123, index 0
ready 1, sample15:8   6, state 1, idle 1, addr 260, en 0, wr_sample 122, index 0
ready 1, sample15:8   6, state 1, idle 1, addr 261, en 0, wr_sample 122, index 0
ready 0, sample15:8   6, state 1, idle 1, addr 261, en 0, wr_sample 122, index 0
ready 0, sample15:8   6, state 1, idle 1, addr 261, en 1, wr_sample 122, index 0
ready 0, sample15:8   6, state 1, idle 1, addr 261, en 0, wr_sample 122, index 0
ready 1, sample15:8   7, state 1, idle 1, addr 261, en 0, wr_sample 121, index 0
ready 1, sample15:8   7, state 1, idle 1, addr 262, en 0, wr_sample 121, index 0
ready 0, sample15:8   7, state 1, idle 1, addr 262, en 0, wr_sample 121, index 0
ready 0, sample15:8   7, state 1, idle 1, addr 262, en 1, wr_sample 121, index 0
ready 0, sample15:8   7, state 1, idle 1, addr 262, en 0, wr_sample 121, index 0
ready 1, sample15:8   8, state 1, idle 1, addr 262, en 0, wr_sample 120, index 0
ready 1, sample15:8   8, state 1, idle 1, addr 263, en 0, wr_sample 120, index 0
ready 0, sample15:8   8, state 1, idle 1, addr 263, en 0, wr_sample 120, index 0
ready 0, sample15:8   8, state 1, idle 1, addr 263, en 1, wr_sample 120, index 0
ready 0, sample15:8   8, state 1, idle 1, addr 263, en 0, wr_sample 120, index 0
ready 1, sample15:8  10, state 1, idle 1, addr 263, en 0, wr_sample 118, index 0
ready 1, sample15:8  10, state 1, idle 1, addr 264, en 0, wr_sample 118, index 0
ready 0, sample15:8  10, state 1, idle 1, addr 264, en 0, wr_sample 118, index 0
ready 0, sample15:8  10, state 1, idle 1, addr 264, en 1, wr_sample 118, index 0
ready 0, sample15:8  10, state 1, idle 1, addr 264, en 0, wr_sample 118, index 0
ready 1, sample15:8  11, state 1, idle 1, addr 264, en 0, wr_sample 117, index 0
ready 1, sample15:8  11, state 1, idle 1, addr 265, en 0, wr_sample 117, index 0
ready 0, sample15:8  11, state 1, idle 1, addr 265, en 0, wr_sample 117, index 0
ready 0, sample15:8  11, state 1, idle 1, addr 265, en 1, wr_sample 117, index 0
ready 0, sample15:8  11, state 1, idle 1, addr 265, en 0, wr_sample 117, index 0
ready 1, sample15:8  12, state 1, idle 1, addr 265, en 0, wr_sample 116, index 0
ready 1, sample15:8  12, state 1, idle 1, addr 266, en 0, wr_sample 116, index 0
ready 0, sample15:8  12, state 1, idle 1, addr 266, en 0, wr_sample 116, index 0
ready 0, sample15:8  12, state 1, idle 1, addr 266, en 1, wr_sample 116, index 0
ready 0, sample15:8  12, state 1, idle 1, addr 266, en 0, wr_sample 116, index 0
ready 1, sample15:8  13, state 1, idle 1, addr 266, en 0, wr_sample 115, index 0
ready 1, sample15:8  13, state 1, idle 1, addr 267, en 0, wr_sample 115, index 0
ready 0, sample15:8  13, state 1, idle 1, addr 267, en 0, wr_sample 115, index 0
ready 0, sample15:8  13, state 1, idle 1, addr 267, en 1, wr_sample 115, index 0
ready 0, sample15:8  13, state 1, idle 1, addr 267, en 0, wr_sample 115, index 0
ready 1, sample15:8  15, state 1, idle 1, addr 267, en 0, wr_sample 113, index 0
ready 1, sample15:8  15, state 1, idle 1, addr 268, en 0, wr_sample 113, index 0
ready 0, sample15:8  15, state 1, idle 1, addr 268, en 0, wr_sample 113, index 0
ready 0, sample15:8  15, state 1, idle 1, addr 268, en 1, wr_sample 113, index 0
ready 0, sample15:8  15, state 1, idle 1, addr 268, en 0, wr_sample 113, index 0
ready 1, sample15:8  16, state 1, idle 1, addr 268, en 0, wr_sample 112, index 0
ready 1, sample15:8  16, state 1, idle 1, addr 269, en 0, wr_sample 112, index 0
ready 0, sample15:8  16, state 1, idle 1, addr 269, en 0, wr_sample 112, index 0
ready 0, sample15:8  16, state 1, idle 1, addr 269, en 1, wr_sample 112, index 0
